,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
alpha,0.18317825925755882,0.004655072730793854,0.10935567336230832,0.028483523633358678,0.09635124659009411,0.1621959495786674,0.2506073349771587,0.43669031037090755,551.8609912284229,1.0007200059440167
sigma_y,2.525442369071616,0.011833813386069474,0.2293293293966146,2.1344694762034893,2.3592013423457026,2.4998169353802666,2.6686800299432587,3.020558949592427,375.5517321856759,1.004668519476628
level[1],-0.3587033170194184,0.04803294747423294,2.0838778637001627,-4.728485129660307,-1.7498595543909623,-0.3632417626565566,1.0329131923654797,3.6188182853817956,1882.2012088292877,0.9998770908178006
level[2],-0.16146683173784793,0.05401941252929288,1.796352504674507,-3.9136132407927606,-1.3315557155351132,-0.040120462158185655,0.9899499171419501,3.526690501086973,1105.8173866210125,0.9988249082527251
level[3],0.6623441232641282,0.04872892086920955,1.7888363112446608,-2.9512534182616803,-0.5451718570913475,0.7111608477034244,1.8867287423884005,4.179911109323395,1347.620523294879,0.9986660639021607
level[4],1.7218279280171709,0.049288057444063824,1.7673154421272907,-2.002962265655758,0.5822629236341401,1.7372536006715027,2.92544558021652,5.0268056159001056,1285.7150880804136,0.9988394218366802
level[5],1.0684519556158547,0.04713535519532245,1.7678595345998935,-2.4478035230922304,-0.12732840959612687,1.05675116031103,2.313783553170086,4.366559196555674,1406.7014724834735,0.9986431031283509
level[6],0.257856750112697,0.05052814592010612,1.7401909514494596,-3.161075251997919,-0.9093431057817349,0.2598535180453089,1.3944728893861806,3.647013161187922,1186.1157892480526,1.0005400924485128
level[7],-2.620114081743277,0.04277638346079993,1.7212177226892291,-6.150988530785621,-3.721678451794193,-2.6261556308964322,-1.4877590036949633,0.7092426278964037,1619.062037319678,0.9983495887326526
level[8],-4.232337765685452,0.042453622068108564,1.7154744241705513,-7.613623722505848,-5.364641150433401,-4.245696546400713,-3.1146232678046157,-0.9218300764730165,1632.822575685643,0.9981885698406371
level[9],-3.741084342412744,0.041360994493341324,1.7316310349338853,-7.262838536958837,-4.865062976618958,-3.7714403445704727,-2.5361329627896843,-0.4669719258735499,1752.785519259616,0.9985678989816938
level[10],-3.404059025777791,0.03746927645905178,1.7440730044779713,-6.981397960667073,-4.496081925259065,-3.3794346708053453,-2.256999361283419,-0.04989003839266242,2166.599837318273,0.9981589486716894
level[11],-1.518551180866393,0.05098223727939897,1.780023681463533,-5.1909088366877825,-2.6303430524028215,-1.4507711012883808,-0.40283069080512834,2.1574243885484643,1219.0282792543553,0.999804170054276
level[12],-1.6614343182483944,0.046915060069049684,1.8060008527709726,-5.035973667839347,-2.8918101317839886,-1.6542138692331496,-0.4719385713953808,1.748996899177039,1481.8742401925424,0.998659868765267
level[13],-2.8811964157194874,0.03814723460143654,1.7265666722364672,-6.3140747393524155,-4.04640396590403,-2.9131652880096053,-1.723273030779347,0.40652924925204414,2048.521783828824,0.9985860103835335
level[14],-4.657037717305662,0.037433772335165205,1.7503312185519382,-8.173032944757876,-5.832192704111103,-4.63984975209264,-3.452213871799778,-1.241277931768439,2186.3177879804934,0.9981726775249672
level[15],-4.414530365659782,0.040780705041598,1.8125069904784799,-8.170393318257585,-5.567345619351348,-4.41657073443962,-3.1757372790845304,-0.7462107797248902,1975.3766722320377,0.998602765123407
level[16],-3.7088340005253406,0.04470424790277125,1.8569984342135746,-7.432548923167447,-4.966267102916312,-3.7058005697606013,-2.489314365181774,-0.023094870581009324,1725.5418211620047,1.0000385704875194
level[17],-2.6502678304414733,0.04008276602671784,1.8395370891981826,-6.044203439480043,-3.969325883513748,-2.6701248482904534,-1.4206784930370358,0.9173012069641535,2106.2102887372193,0.9992509863365189
level[18],-2.1449653437146137,0.04005967935971196,1.8058923270561411,-5.670060816689231,-3.4422023455059296,-2.094002962900324,-0.893135943239405,1.3651722254859826,2032.2108596954702,0.9982234987510306
level[19],-3.3000260106146477,0.04215904118047582,1.6675342752281495,-6.605873401929854,-4.455972014097961,-3.3022045574908048,-2.177225048621558,0.012594791009322946,1564.473057375502,0.9982877144658802
level[20],-1.8418255771708802,0.04469218193358607,1.8148041751272561,-5.496641860963267,-3.024370048996182,-1.848998253845379,-0.6346381857898213,1.60533367074438,1648.9079936387254,0.9988858041684554
level[21],-1.3684839020889736,0.04138635040243272,1.804581173463401,-4.978791520023526,-2.6398897753824144,-1.3298595425011945,-0.1422481951552445,2.2053592485997813,1901.2471829174006,0.9994447019130427
level[22],-2.4525247628785447,0.04184113190713037,1.8033338148003477,-6.014806882019791,-3.5976835771122584,-2.4327611988392643,-1.2542598047283646,1.0564344296981356,1857.5709178924335,0.9982826853385475
level[23],-2.138570419462624,0.046234466151286485,1.786718043408446,-5.473989095379371,-3.333034551284335,-2.1754057795277477,-1.0174246199825934,1.6710191257754707,1493.4144585065796,0.998773363979373
level[24],-3.93440755173616,0.04401230237841635,1.7102283485885188,-7.350154799538245,-5.020343433142259,-3.9986557851861955,-2.7492784766913516,-0.5110354628811761,1509.9411670648644,1.0012836098907238
level[25],-4.927876117367845,0.04943693208334167,1.74126226738721,-8.206719050536346,-6.097725178813164,-4.939732870821802,-3.8096058234224293,-1.4330393001698885,1240.5816543102421,0.9994253284967664
level[26],-3.902335151285293,0.050542299860566964,1.7841514116256434,-7.480443793250419,-5.030211247926441,-3.886629511836224,-2.735308324456561,-0.48452206666010167,1246.1014912776675,1.0000198153770055
level[27],-4.1647030859420955,0.04561556000241449,1.7666778202382671,-7.659342345945468,-5.28579595640219,-4.2313528297576735,-2.9423965802276797,-0.6487732881646062,1499.991132659358,1.0011851182878155
level[28],-2.21376937545613,0.047033413799102794,1.7906060901860281,-5.805597683007374,-3.288659621394725,-2.203174871896736,-1.0168979994280218,1.4057589298350748,1449.3961737098866,0.9991221615164289
level[29],0.6053562837545303,0.04013691535556402,1.7190380147178927,-2.6735563863620238,-0.5454484065050824,0.6210324211556564,1.7653267807888575,4.000148105470187,1834.3532620442927,0.9994594153020062
level[30],-0.020319904272374106,0.04454735489154747,1.6621151433762438,-3.1426980607368145,-1.0604634043654588,-0.05268632687854116,1.0951753931240404,3.1122143953321015,1392.1254369652029,0.9991945049269213
level[31],0.5469098263118307,0.04541178905925277,1.6685243154810026,-2.6341153190469444,-0.657296469104171,0.5485110904098237,1.6671513387377663,3.8539575509604598,1349.9816222503384,0.9984982356987885
level[32],-0.10303897220707943,0.042712078933966856,1.7974941600571321,-3.499709532651265,-1.345888143516583,-0.16073582050963425,1.1321334506764642,3.3555243092278837,1771.0611449223738,0.9990413001511911
level[33],0.5984012549587735,0.040233170470890346,1.7639169192905282,-2.909839295759304,-0.6116944426749709,0.5873981615961419,1.8217028065734575,4.18604902716793,1922.1520412315917,0.9985313277589408
level[34],0.4537986166998901,0.03431096086741924,1.720415744631271,-2.7954170996078127,-0.7558790656321799,0.43528946671322266,1.6246945368671546,4.053295845031736,2514.207142418307,0.9981260561753926
level[35],0.8736454644318917,0.03774633309519186,1.7352022952053643,-2.4082632597653233,-0.3527288637513776,0.7862198115830425,2.055577381206167,4.34348435592407,2113.2490909390754,0.9981617328039255
level[36],-0.1351617841307189,0.04466016547838357,1.7010212669690983,-3.245616293996939,-1.3454975533433768,-0.21384620840485558,1.0393102958775502,3.2686655843096286,1450.7040749480534,0.9983831708256751
level[37],0.1556297953108932,0.04129497965179308,1.6964283349739424,-3.351825402707326,-0.9658125728968855,0.2364317498833356,1.3558800058594715,3.2870788551946015,1687.6272240036114,0.999406246517421
level[38],0.4337909456199462,0.04757248195477356,1.7114821437649674,-2.9312129296215446,-0.6283327756701638,0.4810624137113747,1.5752958850036891,3.628438001345057,1294.2945567741174,0.9985389198864548
level[39],-1.313000288360149,0.04116393409751205,1.8294911988707636,-4.972512567068989,-2.5509060395482526,-1.3419694639180242,-0.08169751365844946,2.2989296499047374,1975.2719687457436,0.9995190138139725
level[40],0.47877405059823597,0.0448101681317881,1.7781613939358032,-3.096720141420877,-0.6712465333456936,0.46367203566889925,1.6596281694651571,3.9630257015306363,1574.6687435802758,1.0018424747322017
level[41],0.7703715159335184,0.03972098081573092,1.7379915769399559,-2.5222846869312514,-0.41900087366154304,0.8072343921044005,1.9589606843875738,4.224807943351835,1914.5001601561007,0.9991490752794283
level[42],2.2069947689455685,0.04148486048232176,1.7948154298559331,-1.3843833040168327,1.028318839616861,2.203550803077185,3.3733390420116844,5.636792636499565,1871.8037853746946,0.999723076993644
level[43],3.4091375986847208,0.042317974516660285,1.7456392705262858,-0.24049804076873718,2.2323113834012815,3.415907227278967,4.553464327289227,6.86367967242958,1701.6069918202747,0.9998578899101737
level[44],3.380383296672037,0.043621932236127085,1.7417781936598142,-0.2220811047245614,2.3260373645441477,3.3890928519272725,4.433825685956782,6.669332851876945,1594.3214920431901,0.9991660535576583
level[45],2.942400702297482,0.042127981367195526,1.7592280097214752,-0.49796896963350146,1.7521474113657587,2.9187921508706225,4.17017208576387,6.371850945062754,1743.825253912028,0.9981493438636314
level[46],1.7441058600479826,0.03956639518486527,1.6970295171115837,-1.588807523136818,0.622489681498845,1.7556118017536035,2.896379218917839,5.190177607055094,1839.6102628049134,0.9989199521670918
level[47],0.3373008627500017,0.04209717320523813,1.7027763174508952,-2.833582627171695,-0.7489339353978144,0.278727400079724,1.3916841233276185,3.845813202148986,1636.098076580678,0.9994131576367444
level[48],-0.31464583717408295,0.03868537468100918,1.8092968406736678,-3.8640390372912083,-1.5168727022932702,-0.24915339522571406,0.9285340949857033,3.3029786223207944,2187.389054825113,0.9982795143639827
level[49],1.0306834817192976,0.040155006559640556,1.7934847383882115,-2.420091951452869,-0.19295425325280915,1.0706145184409088,2.237218926431459,4.210207142465565,1994.8762893935889,0.9987991663406866
level[50],0.19758091621730636,0.047034485866952774,1.7816702724167643,-3.3075527314399906,-0.9918982030721561,0.21846970829481377,1.335859044304688,3.9421413541626,1434.9007588212044,0.9991762362038039
level[51],-1.3763417060506467,0.046794665814731344,1.7680783931387787,-4.926352778970288,-2.5258868532134473,-1.3664702556466894,-0.19517224089558993,2.1359156298734847,1427.6124724456165,1.0001695069405439
level[52],-1.1689888278654386,0.04555066912830881,1.8479781697998099,-4.853444085450787,-2.426336995403497,-1.0690524466321585,0.11618718348936155,2.277534054604722,1645.9026751033114,0.9984925832127244
level[53],-0.36358154274612947,0.04344642891676894,1.7096291739381466,-3.667368822512069,-1.5111641978110892,-0.4064190979893686,0.8418318105784026,2.8864569175957793,1548.4445923474811,0.9989594779839674
