"player","course","date_round","Round","Round_Score","Round_total","tr_id","avg_dist"
"Bryson DeChambeau","Detroit Golf Club - Detroit, MI",2020-07-02,1,-6,66,196,322.1
"Bryson DeChambeau","TPC Sawgrass - Ponte Vedra Beach, FL",2019-03-15,2,-3,69,53,322.1
"Bryson DeChambeau","Pebble Beach Resort - Pebble Beach, CA",2019-06-13,1,-3,69,87,322.1
"Bryson DeChambeau","Albany - New Providence, Bahamas",2018-11-29,1,-2,70,22,322.1
"Bryson DeChambeau","Medinah - Medinah, IL",2019-08-16,2,-1,71,118,322.1
"Bryson DeChambeau","Waialae CC - Honolulu, HI",2019-01-12,3,-7,63,30,322.1
"Bryson DeChambeau","Bay Hill - Orlando, FL",2019-03-07,1,3,75,49,322.1
"Bryson DeChambeau","Augusta National Golf Club - Augusta, GA",2019-04-13,3,1,73,66,322.1
"Bryson DeChambeau","Harbour Town Golf Links - Hilton Head Island, SC",2019-04-18,1,-1,70,67,322.1
"Bryson DeChambeau","Albany - New Providence, Bahamas",2018-12-01,3,-1,71,24,322.1
"Bryson DeChambeau","TPC Scottsdale - Scottsdale, AZ",2020-01-30,2,-2,69,172,322.1
"Bryson DeChambeau","TPC River Highlands - Cromwell, CT",2019-06-22,3,-6,64,92,322.1
"Bryson DeChambeau","TPC Sawgrass - Ponte Vedra Beach, FL",2019-03-16,3,-3,69,54,322.1
"Bryson DeChambeau","Kapalua Resort - Kapalua, HI",2019-01-05,3,-3,70,27,322.1
"Bryson DeChambeau","Harbour Town Golf Links - Hilton Head Island, SC",2020-06-19,2,-7,64,191,322.1
"Bryson DeChambeau","Colonial - Ft. Worth, TX",2020-06-12,2,-5,65,188,322.1
"Bryson DeChambeau","TPC River Highlands - Cromwell, CT",2020-06-25,1,-5,65,193,322.1
"Bryson DeChambeau","Royal Portrush - Portrush, Northern Ireland",2019-07-19,2,2,73,105,322.1
"Bryson DeChambeau","TPC Sawgrass - Ponte Vedra Beach, FL",2019-03-14,1,-2,70,52,322.1
"Bryson DeChambeau","Muirfield Village Golf Club - Dublin, OH",2020-07-16,1,1,73,202,322.1
"Bryson DeChambeau","TPC Harding Park - San Francisco, CA",2020-08-09,4,-4,66,213,322.1
"Bryson DeChambeau","Albany - New Providence, Bahamas",2019-12-06,3,-2,70,158,322.1
"Bryson DeChambeau","Chapultepec - Mexico City, Mexico",2019-02-24,4,-2,69,40,322.1
"Bryson DeChambeau","TPC Summerlin - Las Vegas, NV",2019-10-04,2,-3,68,133,322.1
"Bryson DeChambeau","Muirfield Village Golf Club - Dublin, OH",2019-06-01,3,1,73,84,322.1
"Bryson DeChambeau","TPC Southwind - Memphis, TN",2019-07-26,2,4,74,109,322.1
"Bryson DeChambeau","Albany - New Providence, Bahamas",2019-12-04,1,4,76,156,322.1
"Bryson DeChambeau","Bay Hill - Orlando, FL",2020-03-05,2,-1,71,185,322.1
"Bryson DeChambeau","Chapultepec - Mexico City, Mexico",2020-02-22,4,-6,65,179,322.1
"Bryson DeChambeau","Bethpage - Farmingdale, NY",2019-05-16,1,2,72,76,322.1
"Bryson DeChambeau","Augusta National Golf Club - Augusta, GA",2019-04-12,2,3,75,65,322.1
"Bryson DeChambeau","TPC Twin Cities - Blaine, MN",2019-07-04,1,-5,66,96,322.1
