0,1,percent,odds
Aaron Jarvis,2,0.0002,5000.0
Abraham Ancer,4897,0.4897,2.0420665713702264
Adam Scott,7706,0.7706,1.2976901116013497
Austin Greaser,13,0.0013,769.2307692307693
Billy Horschel,8910,0.891,1.122334455667789
Brian Harman,6211,0.6211,1.6100466913540492
Brooks Koepka,5983,0.5983,1.6714023065351828
Bryson DeChambeau,2400,0.24,4.166666666666667
Bubba Watson,5513,0.5513,1.8138944313440957
Cameron Champ,3719,0.3719,2.6888948642108095
Cameron Davis,4657,0.4657,2.1473051320592655
Cameron Smith,9627,0.9627,1.0387451958034695
Cameron Young,8070,0.807,1.2391573729863692
Charl Schwartzel,140,0.014,71.42857142857143
Christiaan Bezuidenhout,6950,0.695,1.4388489208633095
Collin Morikawa,8859,0.8859,1.1287955751213454
Corey Conners,8388,0.8388,1.1921793037672865
Daniel Berger,9321,0.9321,1.0728462611307799
Danny Willett,5794,0.5794,1.7259233690024163
Dustin Johnson,7703,0.7703,1.2981955082435415
Erik Van Rooyen,5193,0.5193,1.9256691700365878
Francesco Molinari,4525,0.4525,2.2099447513812156
Fred Couples,12,0.0012,833.3333333333334
Garrick Higgo,3771,0.3771,2.6518164942985947
Gary Woodland,8206,0.8206,1.2186205215695833
Guido Migliozzi,5628,0.5628,1.7768301350390903
Harold Varner III,6643,0.6643,1.5053439710973957
Harry Higgs,3935,0.3935,2.5412960609911055
Hideki Matsuyama,7979,0.7979,1.2532898859506203
Hudson Swafford,4898,0.4898,2.041649652919559
J.J. Spaun,6753,0.6753,1.4808233377758033
James Piot,7,0.0007,1428.5714285714287
Jason Kokrak,6332,0.6332,1.5792798483891346
Joaquin Niemann,8766,0.8766,1.1407711613050422
Jon Rahm,9207,0.9207,1.0861301183881829
Jordan Spieth,6190,0.619,1.6155088852988693
Jose Maria Olazabal,9,0.0009,1111.111111111111
Justin Rose,5594,0.5594,1.787629603146228
Justin Thomas,9412,0.9412,1.062473438164046
K.H. Lee,5859,0.5859,1.7067759003242875
Keita Nakajima,12,0.0012,833.3333333333334
Kevin Kisner,7200,0.72,1.3888888888888888
Kevin Na,3290,0.329,3.03951367781155
Laird Shepherd,4,0.0004,2500.0
Larry Mize,16,0.0016,625.0
Lee Westwood,950,0.095,10.526315789473685
Louis Oosthuizen,7461,0.7461,1.3403029084573115
Lucas Glover,5103,0.5103,1.959631589261219
Lucas Herbert,3693,0.3693,2.7078256160303273
Luke List,7748,0.7748,1.2906556530717603
Mackenzie Hughes,7496,0.7496,1.3340448239060831
Marc Leishman,8444,0.8444,1.1842728564661298
Matt Fitzpatrick,9659,0.9659,1.035303861683404
Matthew Wolff,5307,0.5307,1.8843037497644621
Max Homa,8400,0.84,1.1904761904761905
Mike Weir,659,0.0659,15.174506828528072
Min Woo Lee,11,0.0011,909.090909090909
Padraig Harrington,661,0.0661,15.1285930408472
Patrick Cantlay,8760,0.876,1.1415525114155252
Patrick Reed,2755,0.2755,3.629764065335753
Paul Casey,7559,0.7559,1.3229263130043656
Robert Macintyre,8786,0.8786,1.1381743683132255
Rory McIlroy,9142,0.9142,1.0938525486764383
Russell Henley,9180,0.918,1.0893246187363834
Ryan Palmer,5751,0.5751,1.7388280299078422
Sam Burns,8999,0.8999,1.11123458162018
Sandy Lyle,8,0.0008,1250.0
Scottie Scheffler,9137,0.9137,1.0944511327569224
Seamus Power,6986,0.6986,1.43143429716576
Sepp Straka,5643,0.5643,1.77210703526493
Sergio Garcia,7240,0.724,1.3812154696132597
Shane Lowry,9067,0.9067,1.1029006286533585
Si Woo Kim,6151,0.6151,1.6257519102584945
Stewart Cink,3248,0.3248,3.078817733990148
Stewart Hagestad,12,0.0012,833.3333333333334
Sungjae Im,8981,0.8981,1.1134617525887986
Takumi Kanaya,672,0.0672,14.880952380952381
Talor Gooch,8263,0.8263,1.2102142079148008
Thomas Pieters,4039,0.4039,2.475860361475613
Tiger Woods,656,0.0656,15.243902439024389
Tom Hoge,8270,0.827,1.2091898428053205
Tommy Fleetwood,8231,0.8231,1.2149192078726765
Tony Finau,5639,0.5639,1.7733640716439085
Tyrrell Hatton,9086,0.9086,1.100594320933304
Vijay Singh,10,0.001,1000.0
Viktor Hovland,8209,0.8209,1.2181751735899622
Webb Simpson,7071,0.7071,1.4142271248762552
Will Zalatoris,8974,0.8974,1.1143302874972143
Xander Schauffele,8662,0.8662,1.1544677903486493
Zach Johnson,4917,0.4917,2.033760423022168
