,Count_win,percent_win,odds_win,Count_5,percent_5,odds_5,Count_10,percent_10,odds_10,Count_20,percent_20,odds_20,Count_cut,percent_cut,odds_cut
Abraham Ancer,153,0.0153,64.35947712418302,876,0.0876,10.415525114155251,1670,0.167,4.988023952095808,3086,0.3086,2.240440699935191,6873,0.6873,0.45496871817255924
Adam Hadwin,108,0.0108,91.59259259259258,673,0.0673,13.85884101040119,1315,0.1315,6.604562737642585,2509,0.2509,2.9856516540454363,6377,0.6377,0.5681354869060686
Adam Scott,228,0.0228,42.859649122807014,1126,0.1126,7.880994671403197,1954,0.1954,4.117707267144319,3417,0.3417,1.9265437518290898,6971,0.6971,0.43451441686988934
Andrew Landry,84,0.0084,118.04761904761905,517,0.0517,18.342359767891683,1097,0.1097,8.115770282588878,2200,0.22,3.545454545454546,6173,0.6173,0.6199578810950916
Andrew Putnam,95,0.0095,104.26315789473685,592,0.0592,15.891891891891891,1205,0.1205,7.298755186721992,2406,0.2406,3.1562759767248547,6413,0.6413,0.559332605644784
Bernd Wiesberger,32,0.0032,311.5,214,0.0214,45.728971962616825,505,0.0505,18.801980198019802,1247,0.1247,7.019246190858059,5117,0.5117,0.9542700801250732
Billy Horschel,83,0.0083,119.48192771084337,527,0.0527,17.975332068311197,1214,0.1214,7.237232289950578,2585,0.2585,2.8684719535783363,6828,0.6828,0.4645577035735209
Brandt Snedeker,57,0.0057,174.43859649122805,575,0.0575,16.391304347826086,1222,0.1222,7.183306055646481,2658,0.2658,2.7622272385252074,6817,0.6817,0.46692093296171344
Brendon Todd,170,0.017,57.8235294117647,880,0.088,10.363636363636365,1706,0.1706,4.861664712778429,3168,0.3168,2.156565656565656,6931,0.6931,0.4427932477276004
Brooks Koepka,141,0.0141,69.92198581560284,852,0.0852,10.737089201877934,1717,0.1717,4.824111822947001,3264,0.3264,2.063725490196078,7134,0.7134,0.4017381553125876
Bryson DeChambeau,220,0.022,44.45454545454546,1279,0.1279,6.818608287724784,2356,0.2356,3.2444821731748723,4222,0.4222,1.3685457129322596,7798,0.7798,0.28238009746088744
Bubba Watson,31,0.0031,321.5806451612903,352,0.0352,27.409090909090907,877,0.0877,10.402508551881414,2146,0.2146,3.6598322460391426,6476,0.6476,0.5441630636195183
Byeong Hun An,148,0.0148,66.56756756756756,745,0.0745,12.422818791946309,1354,0.1354,6.385524372230429,2598,0.2598,2.8491147036181683,6440,0.644,0.5527950310559007
C.T. Pan,49,0.0049,203.08163265306123,335,0.0335,28.850746268656714,745,0.0745,12.422818791946309,1795,0.1795,4.571030640668524,5956,0.5956,0.6789791806581598
Cameron Champ,137,0.0137,71.99270072992701,709,0.0709,13.104372355430183,1345,0.1345,6.434944237918216,2565,0.2565,2.898635477582846,6270,0.627,0.594896331738437
Cameron Smith,67,0.0067,148.2537313432836,508,0.0508,18.68503937007874,1034,0.1034,8.671179883945841,2103,0.2103,3.755111745126011,6069,0.6069,0.6477179106936892
Charl Schwartzel,19,0.0019,525.3157894736842,213,0.0213,45.948356807511736,594,0.0594,15.835016835016834,1590,0.159,5.289308176100628,6090,0.609,0.6420361247947455
Charles Howell III,169,0.0169,58.1715976331361,890,0.089,10.235955056179776,1691,0.1691,4.913660555884093,3200,0.32,2.125,7081,0.7081,0.4122299110295158
Chez Reavie,94,0.0094,105.38297872340425,681,0.0681,13.684287812041118,1400,0.14,6.142857142857142,2906,0.2906,2.4411562284927735,7027,0.7027,0.42308239647075574
Christiaan Bezuidenhout,135,0.0135,73.07407407407408,664,0.0664,14.06024096385542,1214,0.1214,7.237232289950578,2288,0.2288,3.370629370629371,5991,0.5991,0.6691704223001169
Collin Morikawa,175,0.0175,56.14285714285714,1068,0.1068,8.363295880149812,2017,0.2017,3.95785820525533,3732,0.3732,1.679528403001072,7640,0.764,0.30890052356020936
Corey Conners,78,0.0078,127.2051282051282,560,0.056,16.857142857142858,1242,0.1242,7.051529790660226,2593,0.2593,2.856536829926726,6643,0.6643,0.5053439710973957
Danny Willett,43,0.0043,231.5581395348837,304,0.0304,31.89473684210526,685,0.0685,13.5985401459854,1565,0.1565,5.389776357827476,5521,0.5521,0.8112660749864153
Dustin Johnson,271,0.0271,35.90036900369004,1279,0.1279,6.818608287724784,2258,0.2258,3.428697962798937,3776,0.3776,1.648305084745763,7304,0.7304,0.36911281489594727
Dylan Frittelli,82,0.0082,120.95121951219511,561,0.0561,16.825311942959004,1222,0.1222,7.183306055646481,2735,0.2735,2.6563071297989027,6876,0.6876,0.45433391506689946
Erik van Rooyen,35,0.0035,284.7142857142857,228,0.0228,42.859649122807014,589,0.0589,15.97792869269949,1523,0.1523,5.565988181221274,6008,0.6008,0.6644474034620507
Francesco Molinari,22,0.0022,453.5454545454545,253,0.0253,38.52569169960474,607,0.0607,15.474464579901156,1561,0.1561,5.406149903907752,5791,0.5791,0.7268174753928511
Gary Woodland,178,0.0178,55.17977528089888,995,0.0995,9.050251256281406,1942,0.1942,4.1493305870236865,3560,0.356,1.808988764044944,7413,0.7413,0.3489815189531904
Graeme McDowell,56,0.0056,177.57142857142858,405,0.0405,23.691358024691358,895,0.0895,10.1731843575419,1870,0.187,4.347593582887701,5722,0.5722,0.7476406850751485
Henrik Stenson,58,0.0058,171.41379310344828,490,0.049,19.408163265306122,1069,0.1069,8.354536950420954,2440,0.244,3.0983606557377046,6775,0.6775,0.47601476014760147
